Upc,Brand,Title,Url,Sales Rank,Num Used,Price Used,Num New,Price New,Num Revs,Rating
361857000000,Giro,"Giros Savant Road Bike Helmet (Matte Black/Charcoal, Small)",http://www.amazon.com/Giros-Savant-Helmet-Matte-Charcoal/dp/B005I6RU8Q%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6RU8Q,0,1,$64.15 ,14,$72.90 ,135,4.7
361857000000,Giro,"Giros Savant Road Bike Helmet (White/Silver, Medium)",http://www.amazon.com/Giros-Savant-Helmet-Silver-Medium/dp/B005I6S09Y%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6S09Y,0,0,,15,$74.95 ,135,4.7
768687000000,Giro,"Giro Aeon Cycling Helmet (Matte White/Silver, Medium)",http://www.amazon.com/Giro-Cycling-Helmet-Silver-Medium/dp/B008Z9BP3O%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9BP3O,0,0,,16,$199.95 ,104,4.8
768687000000,Giro,"Giro Savant Cycling Helmet (Highlight Yellow, Small)",http://www.amazon.com/Giro-Savant-Cycling-Helmet-Highlight/dp/B008Z9EHZ2%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9EHZ2,0,0,,13,$79.99 ,135,4.7
361857000000,Giro,"Giros Savant Road Bike Helmet (Matte Black/Charcoal, Large)",http://www.amazon.com/Giros-Savant-Helmet-Matte-Charcoal/dp/B005I6P47A%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6P47A,0,0,,11,$79.99 ,135,4.7
361857000000,FBApowersetup,"Giro Me2 Infant/Toddler Bike Helmet (Red Pin The Tail On The Donkey, Universal Infant Fit)",http://www.amazon.com/Giro-Infant-Toddler-Helmet-Universal/dp/B005I6TOIA%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6TOIA,0,0,,1,$27.00 ,438,4.4
768687000000,Bell Sports,"Bell Solar Blast Bike Helmet (Blue Stripe, Universal Adult)",http://www.amazon.com/Bell-Solar-Helmet-Stripe-Universal/dp/B008Z9IRIK%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9IRIK,"212,256",0,,17,$27.98 ,2,4
768687000000,Giro,"Giro Feature Cycling Helmet (Matte Titanium Icon, Medium)",http://www.amazon.com/Giro-Feature-Cycling-Helmet-Titanium/dp/B008Z9FQMA%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9FQMA,0,0,,4,$67.45 ,74,4.6
768687000000,Bell Sports,"Bell Solar Bike Helmet, Hi-Vis Green/Black Linear, Universal Adult Size",http://www.amazon.com/Bell-Helmet-Hi-Vis-Linear-Universal/dp/B005OYGL7S%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005OYGL7S,0,0,,2,$35.00 ,104,4.4
768687000000,Giro,"Giro Feature Cycling Helmet (Matte Black, Medium)",http://www.amazon.com/Giro-Feature-Cycling-Helmet-Medium/dp/B008Z9FPDK%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9FPDK,0,0,,6,$67.45 ,1,5
